Borough,Collision ID,Contributing Factor 1,Crash Date,Crash Time,Latitude,Location,Longitude,Number of Cyclists Injured,Number of Cyclists Killed,Number of Motorists Injured,Number of Motorists Killed,Number of Pedestrians Injured,number_of_pedestrians_killed,Number of Persons Killed,Number of Persons Killed,Vehicle 1 Code,Zip Code
MANHATTAN,4360515,Backing Unsafely,2020-10-19T00:00:00.000,2020-12-14 13:00:00,40.812187,"{'latitude': '40.812187', 'longitude': '-73.94995'}",-73.94995,1,0,0,0,0,0,1,0,Bike,10027.0
BRONX,4363340,Unspecified,2020-11-01T00:00:00.000,2020-12-14 10:38:00,40.83209,"{'latitude': '40.83209', 'longitude': '-73.8898'}",-73.8898,0,0,0,0,0,0,0,0,Sedan,10459.0
QUEENS,4358460,Unsafe Speed,2020-10-17T00:00:00.000,2020-12-14 09:29:00,40.70476,"{'latitude': '40.70476', 'longitude': '-73.784424'}",-73.784424,0,0,3,0,0,0,3,0,Sedan,11433.0
BRONX,4367963,Fell Asleep,2020-11-14T00:00:00.000,2020-12-14 00:30:00,40.824104,"{'latitude': '40.824104', 'longitude': '-73.869'}",-73.869,0,0,0,0,0,0,0,0,Station Wagon/Sport Utility Vehicle,10473.0
BROOKLYN,4360479,Alcohol Involvement,2020-10-22T00:00:00.000,2020-12-14 20:16:00,40.65621,"{'latitude': '40.65621', 'longitude': '-73.914665'}",-73.914665,0,0,0,0,0,0,0,0,Sedan,11212.0
BROOKLYN,4366256,Driver Inattention/Distraction,2020-11-09T00:00:00.000,2020-12-14 17:42:00,40.690765,"{'latitude': '40.690765', 'longitude': '-73.92429'}",-73.92429,0,0,0,0,0,0,0,0,Sedan,11221.0
QUEENS,4370424,Backing Unsafely,2020-11-23T00:00:00.000,2020-12-14 12:25:00,40.756336,"{'latitude': '40.756336', 'longitude': '-73.87794'}",-73.87794,0,0,0,0,0,0,0,0,Sedan,11372.0
BRONX,4363597,Driver Inattention/Distraction,2020-11-02T00:00:00.000,2020-12-14 14:55:00,40.876312,"{'latitude': '40.876312', 'longitude': '-73.87965'}",-73.87965,0,0,0,0,0,0,0,0,Sedan,10467.0
MANHATTAN,4360553,Unspecified,2020-10-23T00:00:00.000,2020-12-14 17:57:00,40.714928,"{'latitude': '40.714928', 'longitude': '-74.00795'}",-74.00795,0,0,0,0,0,0,0,0,Station Wagon/Sport Utility Vehicle,10007.0
BRONX,4358596,Failure to Yield Right-of-Way,2020-10-15T00:00:00.000,2020-12-14 20:23:00,40.859646,"{'latitude': '40.859646', 'longitude': '-73.86176'}",-73.86176,0,0,1,0,0,0,1,0,Taxi,10469.0
MANHATTAN,4364577,Failure to Yield Right-of-Way,2020-11-05T00:00:00.000,2020-12-14 13:50:00,40.76338,"{'latitude': '40.76338', 'longitude': '-73.97156'}",-73.97156,0,0,1,0,0,0,1,0,Sedan,10022.0
BRONX,4370991,Unspecified,2020-11-18T00:00:00.000,2020-12-14 09:22:00,40.821167,"{'latitude': '40.821167', 'longitude': '-73.90775'}",-73.90775,0,0,0,0,0,0,0,0,Station Wagon/Sport Utility Vehicle,10456.0
